maHuyen,tenHuyen,maTinh,tenTinh
80505,Huyện An Phú,805,An Giang
80511,Huyện Châu Phú,805,An Giang
80519,Huyện Châu Thành,805,An Giang
80517,Huyện Chợ Mới,805,An Giang
80509,Huyện Phú Tân,805,An Giang
80521,Huyện Thoại Sơn,805,An Giang
80515,Huyện Tri Tôn,805,An Giang
80501,Thành phố Long Xuyên,805,An Giang
80513,Thị Xã Tịnh Biên,805,An Giang
80503,Thị xã Châu Đốc,805,An Giang
80507,Thị xã Tân Châu,805,An Giang
71705,Huyện Châu Đức,717,Bà Rịa - Vũng Tàu
71713,Huyện Côn Đảo,717,Bà Rịa - Vũng Tàu
71711,Huyện Long Điền,717,Bà Rịa - Vũng Tàu
71707,Huyện Xuyên Mộc,717,Bà Rịa - Vũng Tàu
71712,Huyện Đất Đỏ,717,Bà Rịa - Vũng Tàu
71703,Thành Phố Bà Rịa,717,Bà Rịa - Vũng Tàu
71701,Thành phố Vũng Tàu,717,Bà Rịa - Vũng Tàu
71709,Thị xã Phú Mỹ,717,Bà Rịa - Vũng Tàu
71115,Huyện Bàu Bàng,711,Bình Dương
71117,Huyện Bắc Tân Uyên,711,Bình Dương
71113,Huyện Dầu tiếng,711,Bình Dương
71111,Huyện Phú Giáo,711,Bình Dương
71109,Thành phố  Dĩ An,711,Bình Dương
71107,Thành phố Thuận An,711,Bình Dương
71101,Thành phố Thủ Dầu Một,711,Bình Dương
71105,Thành phố Tân Uyên,711,Bình Dương
71103,Thị Xã  Bến Cát,711,Bình Dương
70715,Huyện Bù Gia Mập,707,Bình Phước
70707,Huyện Bù Đăng,707,Bình Phước
70706,Huyện Bù Đốp,707,Bình Phước
70713,Huyện Hớn Quản,707,Bình Phước
70705,Huyện Lộc Ninh,707,Bình Phước
70716,Huyện Phú Riềng,707,Bình Phước
70701,Huyện Đồng Phú,707,Bình Phước
70709,Thị xã  Bình Long,707,Bình Phước
70703,Thị xã  Phước Long,707,Bình Phước
70710,Thị xã Chơn Thành,707,Bình Phước
70711,Thị xã Đồng Xoài,707,Bình Phước
71505,Huyện Bắc Bình,715,Bình Thuận
71507,Huyện Hàm Thuận Bắc,715,Bình Thuận
71509,Huyện Hàm Thuận Nam,715,Bình Thuận
71514,Huyện Hàm Tân,715,Bình Thuận
71517,Huyện Phú Quý,715,Bình Thuận
71503,Huyện Tuy Phong,715,Bình Thuận
71511,Huyện Tánh Linh,715,Bình Thuận
71515,Huyện Đức Linh,715,Bình Thuận
71501,Thành phố  Phan Thiết,715,Bình Thuận
71513,Thị xã La Gi,715,Bình Thuận
50703,Huyện An Lão,507,Bình Định
50707,Huyện Hoài Ân,507,Bình Định
50713,Huyện Phù Cát,507,Bình Định
50709,Huyện Phù Mỹ,507,Bình Định
50719,Huyện Tuy Phước,507,Bình Định
50715,Huyện Tây Sơn,507,Bình Định
50721,Huyện Vân Canh,507,Bình Định
50711,Huyện Vĩnh Thạnh,507,Bình Định
50701,Thành phố Quy Nhơn,507,Bình Định
50717,Thị xã An Nhơn,507,Bình Định
50705,Thị xã Hoài Nhơn,507,Bình Định
82106,Huyện Hoà Bình,821,Bạc Liêu
82103,Huyện Hồng Dân,821,Bạc Liêu
82109,Huyện Phước Long,821,Bạc Liêu
82105,Huyện Vĩnh Lợi,821,Bạc Liêu
82111,Huyện Đông Hải,821,Bạc Liêu
82101,Thành Phố Bạc Liêu,821,Bạc Liêu
82107,Thị Xã Giá Rai,821,Bạc Liêu
20703,Huyện Ba Bể,207,Bắc Cạn
20711,Huyện Bạch Thông,207,Bắc Cạn
20713,Huyện Chợ mới,207,Bắc Cạn
20707,Huyện Chợ Đồn,207,Bắc Cạn
20709,Huyện Na Rì,207,Bắc Cạn
20705,Huyện Ngân Sơn,207,Bắc Cạn
20704,Huyện Pác Nặm,207,Bắc Cạn
20701,Thành phố Bắc Kạn,207,Bắc Cạn
22109,Huyện Hiệp Hoà,221,Bắc Giang
22111,Huyện Lạng Giang,221,Bắc Giang
22115,Huyện Lục Nam,221,Bắc Giang
22107,Huyện Lục Ngạn,221,Bắc Giang
22113,Huyện Sơn Động,221,Bắc Giang
22105,Huyện Tân Yên,221,Bắc Giang
22117,Huyện Việt Yên,221,Bắc Giang
22119,Huyện Yên Dũng,221,Bắc Giang
22103,Huyện Yên Thế,221,Bắc Giang
22101,Thành phố  Bắc Giang,221,Bắc Giang
22315,Huyện Gia Bình,223,Bắc Ninh
22311,Huyện Lương Tài,223,Bắc Ninh
22305,Huyện Quế Võ,223,Bắc Ninh
22307,Huyện Tiên Du,223,Bắc Ninh
22303,Huyện Yên Phong,223,Bắc Ninh
22301,Thành phố Bắc Ninh,223,Bắc Ninh
22313,Thành phố Từ Sơn,223,Bắc Ninh
22309,Thị xã Quế Võ,223,Bắc Ninh
81113,Huyện Ba Tri,811,Bến Tre
81111,Huyện Bình Đại,811,Bến Tre
81103,Huyện Châu Thành,811,Bến Tre
81105,Huyện Chợ Lách,811,Bến Tre
81109,Huyện Giồng Trôm,811,Bến Tre
81108,Huyện Mỏ Cày Bắc,811,Bến Tre
81107,Huyện Mỏ Cày Nam,811,Bến Tre
81115,Huyện Thạnh Phú,811,Bến Tre
81101,Thành phố Bến Tre,811,Bến Tre
20323,Huyện Bảo Lâm,203,Cao Bằng
20303,Huyện Bảo Lạc,203,Cao Bằng
20315,Huyện Hoà An,203,Cao Bằng
20305,Huyện Hà Quảng,203,Cao Bằng
20319,Huyện Hạ Lang,203,Cao Bằng
20313,Huyện Nguyên Bình,203,Cao Bằng
20318,Huyện Phục Hoà (hết hiệu lực),203,Cao Bằng
20325,Huyện Quảng Hòa (hết hiệu lực),203,Cao Bằng
20317,Huyện Quảng Uyên (hết hiệu lực),203,Cao Bằng
20307,Huyện Thông Nông (hết hiệu lực),203,Cao Bằng
20321,Huyện Thạch An,203,Cao Bằng
20309,Huyện Trà Lĩnh (hết hiệu lực),203,Cao Bằng
20311,Huyện Trùng Khánh,203,Cao Bằng
20301,Thành phố Cao Bằng,203,Cao Bằng
82309,Huyện Cái Nước,823,Cà Mau
82313,Huyện Ngọc Hiển,823,Cà Mau
82312,Huyện Năm Căn,823,Cà Mau
82308,Huyện Phú Tân,823,Cà Mau
82303,Huyện Thới Bình,823,Cà Mau
82307,Huyện Trần Văn Thời,823,Cà Mau
82305,Huyện U Minh,823,Cà Mau
82311,Huyện Đầm Dơi,823,Cà Mau
82301,Thành phố  Cà Mau,823,Cà Mau
81507,Huyện Châu Thành (hêt h.lực),815,Cần Thơ
81517,Huyện Châu Thành A (hêt h.lực),815,Cần Thơ
81527,Huyện Cờ Đỏ,815,Cần Thơ
81513,Huyện Long Mỹ (hêt h.lực),815,Cần Thơ
81529,Huyện Phong Điền,815,Cần Thơ
81509,Huyện Phụng Hiệp (hêt h.lực),815,Cần Thơ
81531,Huyện Thới Lai,815,Cần Thơ
81525,Huyện Vĩnh Thạnh,815,Cần Thơ
81515,Huyện Vị Thuỷ (hêt h.lực),815,Cần Thơ
81521,Quận Bình Thuỷ,815,Cần Thơ
81523,Quận Cái Răng,815,Cần Thơ
81519,Quận Ninh Kiều,815,Cần Thơ
81503,Quận Thốt Nốt,815,Cần Thơ
81505,Quận Ô Môn,815,Cần Thơ
81501,Thành phố Cần Thơ (hêt h.lực),815,Cần Thơ
81511,Thị xã Vị Thanh (hêt h.lực),815,Cần Thơ
60317,Huyện Chư Prông,603,Gia Lai
60307,Huyện Chư Păh,603,Gia Lai
60331,Huyện Chư Pưh,603,Gia Lai
60319,Huyện Chư Sê,603,Gia Lai
60309,Huyện Ia Grai,603,Gia Lai
60320,Huyện IaPa,603,Gia Lai
60303,Huyện Kbang,603,Gia Lai
60323,Huyện Krông Pa,603,Gia Lai
60313,Huyện Kông Chro,603,Gia Lai
60305,Huyện Mang Yang,603,Gia Lai
60329,Huyện Phú Thiện,603,Gia Lai
60325,Huyện Đak Đoa,603,Gia Lai
60327,Huyện ĐakPơ,603,Gia Lai
60315,Huyện Đức Cơ,603,Gia Lai
60301,Thành phố  Pleiku,603,Gia Lai
60311,Thị xã An Khê,603,Gia Lai
60321,Thị xã Ayun Pa,603,Gia Lai
20111,Huyện Bắc Mê,201,Hà Giang
20119,Huyện Bắc Quang,201,Hà Giang
20113,Huyện Hoàng Su Phì,201,Hà Giang
20105,Huyện Mèo Vạc,201,Hà Giang
20118,Huyện Quang Bình,201,Hà Giang
20109,Huyện Quản Bạ,201,Hà Giang
20115,Huyện Vị Xuyên,201,Hà Giang
20117,Huyện Xín Mần,201,Hà Giang
20107,Huyện Yên Minh,201,Hà Giang
20103,Huyện Đồng Văn,201,Hà Giang
20101,TP Hà Giang,201,Hà Giang
11111,Huyện Bình Lục,111,Hà Nam
11105,Huyện Kim Bảng,111,Hà Nam
11107,Huyện Lý Nhân,111,Hà Nam
11109,Huyện Thanh Liêm,111,Hà Nam
11101,Thành phố Phủ Lý,111,Hà Nam
11103,Thị xã Duy Tiên,111,Hà Nam
10151,Huyện Ba Vì,101,Hà Nội
10153,Huyện Chương Mỹ,101,Hà Nội
10119,Huyện Gia Lâm,101,Hà Nội
10137,Huyện Hoài Đức,101,Hà Nội
10125,Huyện Mê Linh,101,Hà Nội
10145,Huyện Mỹ Đức,101,Hà Nội
10149,Huyện Phú Xuyên,101,Hà Nội
10131,Huyện Phúc Thọ,101,Hà Nội
10139,Huyện Quốc Oai,101,Hà Nội
10115,Huyện Sóc sơn,101,Hà Nội
10141,Huyện Thanh Oai,101,Hà Nội
10123,Huyện Thanh Trì,101,Hà Nội
10143,Huyện Thường Tín,101,Hà Nội
10135,Huyện Thạch Thất,101,Hà Nội
10121,Huyện Từ Liêm,101,Hà Nội
10133,Huyện Đan Phượng,101,Hà Nội
10117,Huyện Đông Anh,101,Hà Nội
10147,Huyện ứng Hoà,101,Hà Nội
10101,Quận Ba Đình,101,Hà Nội
10157,Quận Bắc Từ Liêm,101,Hà Nội
10113,Quận Cầu Giấy,101,Hà Nội
10107,Quận Hai Bà Trưng,101,Hà Nội
10105,Quận Hoàn Kiếm,101,Hà Nội
10108,Quận Hoàng Mai,101,Hà Nội
10127,Quận Hà Đông,101,Hà Nội
10106,Quận Long Biên,101,Hà Nội
10155,Quận Nam Từ Liêm,101,Hà Nội
10111,Quận Thanh Xuân,101,Hà Nội
10103,Quận Tây Hồ,101,Hà Nội
10109,Quận Đống đa,101,Hà Nội
10129,Thị xã Sơn Tây,101,Hà Nội
40511,Huyện Can Lộc,405,Hà Tĩnh
40515,Huyện Cẩm Xuyên,405,Hà Tĩnh
40517,Huyện Hương Khê,405,Hà Tĩnh
40509,Huyện Hương Sơn,405,Hà Tĩnh
40523,Huyện Lộc Hà,405,Hà Tĩnh
40505,Huyện Nghi Xuân,405,Hà Tĩnh
40513,Huyện Thạch Hà,405,Hà Tĩnh
40521,Huyện Vũ Quang,405,Hà Tĩnh
40507,Huyện Đức Thọ,405,Hà Tĩnh
40501,Thành phố Hà Tĩnh,405,Hà Tĩnh
40519,Thị trấn Kỳ Anh,405,Hà Tĩnh
40503,Thị xã Hồng Lĩnh,405,Hà Tĩnh
40520,Thị xã Kỳ Anh,405,Hà Tĩnh
30510,Huyện Cao Phong,305,Hòa Bình
30511,Huyện Kim Bôi,305,Hòa Bình
30507,Huyện Kỳ Sơn (hết hiệu lực),305,Hòa Bình
30509,Huyện Lương Sơn,305,Hòa Bình
30515,Huyện Lạc Sơn,305,Hòa Bình
30517,Huyện Lạc Thuỷ,305,Hòa Bình
30505,Huyện Mai Châu,305,Hòa Bình
30513,Huyện Tân Lạc,305,Hòa Bình
30519,Huyện Yên Thuỷ,305,Hòa Bình
30503,Huyện Đà Bắc,305,Hòa Bình
30501,Thành phố Hoà Bình,305,Hòa Bình
10905,Huyện Khoái Châu,109,Hưng Yên
10909,Huyện Kim Động,109,Hưng Yên
10911,Huyện Phù Cừ,109,Hưng Yên
10913,Huyện Tiên Lữ,109,Hưng Yên
10915,Huyện Văn Giang,109,Hưng Yên
10917,Huyện Văn Lâm,109,Hưng Yên
10919,Huyện Yên Mỹ,109,Hưng Yên
10907,Huyện Ân Thi,109,Hưng Yên
10901,Thành phố Hưng yên,109,Hưng Yên
10903,Thị xã Mỹ Hào,109,Hưng Yên
10719,Huyện Bình Giang,107,Hải Dương
10717,Huyện Cẩm Giàng,107,Hải Dương
10713,Huyện Gia Lộc,107,Hải Dương
10711,Huyện Kim Thành,107,Hải Dương
10709,Huyện Kinh Môn,107,Hải Dương
10705,Huyện Nam Sách,107,Hải Dương
10723,Huyện Ninh Giang,107,Hải Dương
10707,Huyện Thanh Hà,107,Hải Dương
10721,Huyện Thanh Miện,107,Hải Dương
10715,Huyện Tứ Kỳ,107,Hải Dương
10701,Thành phố Hải Dương,107,Hải Dương
10703,Thị xã Chí Linh,107,Hải Dương
10313,Huyện An Dương,103,Hải Phòng
10315,Huyện An Lão,103,Hải Phòng
10325,Huyện Bạch Long Vĩ,103,Hải Phòng
10323,Huyện Cát Hải,103,Hải Phòng
10317,Huyện Kiến Thuỵ,103,Hải Phòng
10311,Huyện Thuỷ Nguyên,103,Hải Phòng
10319,Huyện Tiên Lãng,103,Hải Phòng
10321,Huyện Vĩnh Bảo,103,Hải Phòng
10327,Quận Dương Kinh,103,Hải Phòng
10304,Quận Hải An,103,Hải Phòng
10301,Quận Hồng Bàng,103,Hải Phòng
10307,Quận Kiến An,103,Hải Phòng
10305,Quận Lê Chân,103,Hải Phòng
10303,Quận Ngô Quyền,103,Hải Phòng
10309,Quận Đồ Sơn,103,Hải Phòng
9003,Thành Phố Hải Phòng,90,
81605,Huyện Châu Thành,816,Hậu Giang
81603,Huyện Châu Thành A,816,Hậu Giang
81611,Huyện Long Mỹ,816,Hậu Giang
81608,Huyện Phụng Hiệp,816,Hậu Giang
81609,Huyện Vị Thủy,816,Hậu Giang
81607,Thành phố Ngã Bảy,816,Hậu Giang
81612,Thị Xã Long Mỹ,816,Hậu Giang
81601,Tp Vị Thanh,816,Hậu Giang
51117,Huyện Cam Lâm,511,Khánh Hòa
51107,Huyện Diên Khánh,511,Khánh Hòa
51111,Huyện KHánh Vĩnh,511,Khánh Hòa
51113,Huyện Khánh Sơn,511,Khánh Hòa
51115,Huyện Trường Sa,511,Khánh Hòa
51103,Huyện Vạn Ninh,511,Khánh Hòa
51109,Thành phố Cam Ranh,511,Khánh Hòa
51101,Thành phố Nha Trang,511,Khánh Hòa
51105,Thị xã Ninh Hoà,511,Khánh Hòa
81315,Huyện An Biên,813,Kiên Giang
81317,Huyện An Minh,813,Kiên Giang
81309,Huyện Châu Thành,813,Kiên Giang
81304,Huyện Giang Thành,813,Kiên Giang
81311,Huyện Giồng Riềng,813,Kiên Giang
81313,Huyện Gò Quao,813,Kiên Giang
81305,Huyện Hòn Đất,813,Kiên Giang
81323,Huyện Kiên Hải,813,Kiên Giang
81303,Huyện Kiên Lương,813,Kiên Giang
81307,Huyện Tân Hiệp,813,Kiên Giang
81327,Huyện U Minh Thượng,813,Kiên Giang
81319,Huyện Vĩnh Thuận,813,Kiên Giang
81321,Thành phố Phú Quốc,813,Kiên Giang
81301,Thành phố Rạch Giá,813,Kiên Giang
81325,Thị xã Hà tiên,813,Kiên Giang
60115,Huyện  Tu Mơ Rông,601,Kon Tum
60114,Huyện Ia H'Drai,601,Kon Tum
60109,Huyện Kon Plông,601,Kon Tum
60108,Huyện Kon Rẫy,601,Kon Tum
60105,Huyện Ngọc Hồi,601,Kon Tum
60113,Huyện Sa Thầy,601,Kon Tum
60111,Huyện Đăk Hà,601,Kon Tum
60107,Huyện Đăk Tô,601,Kon Tum
60103,Huyện Đắk Glei,601,Kon Tum
60101,Thành phố Kon Tum,601,Kon Tum
30201,Huyện Mường Tè,302,Lai Châu
30213,Huyện Nậm Nhùn,302,Lai Châu
30203,Huyện Phong Thổ,302,Lai Châu
30207,Huyện Sìn Hồ,302,Lai Châu
30205,Huyện Tam Đường,302,Lai Châu
30209,Huyện Than Uyên,302,Lai Châu
30211,Huyện Tân Uyên,302,Lai Châu
30202,Thành phố Lai Châu,302,Lai Châu
80117,Huyện Bến Lức,801,Long An
80121,Huyện Châu Thành,801,Long An
80127,Huyện Cần Giuộc,801,Long An
80125,Huyện Cần Đước,801,Long An
80107,Huyện Mộc Hoá,801,Long An
80111,Huyện Thạnh Hoá,801,Long An
80119,Huyện Thủ Thừa,801,Long An
80103,Huyện Tân Hưng,801,Long An
80109,Huyện Tân Thạnh,801,Long An
80123,Huyện Tân Trụ,801,Long An
80105,Huyện Vĩnh Hưng,801,Long An
80115,Huyện Đức Hoà,801,Long An
80113,Huyện Đức Huệ,801,Long An
80101,Thành phố Tân An,801,Long An
80129,Thị xã Kiến Tường,801,Long An
20507,Huyện Bát Xát,205,Lào Cai
20511,Huyện Bảo Thắng,205,Lào Cai
20515,Huyện Bảo Yên,205,Lào Cai
20509,Huyện Bắc Hà,205,Lào Cai
20505,Huyện Mường Khương,205,Lào Cai
20521,Huyện Si Ma Cai,205,Lào Cai
20517,Huyện Than Uyên (hêt h.lực),205,Lào Cai
20519,Huyện Văn Bàn,205,Lào Cai
20501,Thành phố  Lào Cai,205,Lào Cai
20503,Thị xã Cam Đường (hêt h.lực),205,Lào Cai
20513,Thị xã Sa Pa,205,Lào Cai
70313,Huyện Bảo Lâm,703,Lâm Đồng
70321,Huyện Cát Tiên,703,Lâm Đồng
70315,Huyện Di Linh,703,Lâm Đồng
70311,Huyện Lâm Hà,703,Lâm Đồng
70305,Huyện Lạc Dương,703,Lâm Đồng
70323,Huyện Đam Rông,703,Lâm Đồng
70307,Huyện Đơn Dương,703,Lâm Đồng
70317,Huyện Đạ Huoai,703,Lâm Đồng
70319,Huyện Đạ Tẻh,703,Lâm Đồng
70309,Huyện Đức Trọng,703,Lâm Đồng
70303,Thành phố Bảo Lộc,703,Lâm Đồng
70301,Thành phố Đà Lạt,703,Lâm Đồng
20907,Huyện Bình Gia,209,Lạng Sơn
20909,Huyện Bắc Sơn,209,Lạng Sơn
20913,Huyện Cao Lộc,209,Lạng Sơn
20917,Huyện Chi Lăng,209,Lạng Sơn
20921,Huyện Hữu Lũng,209,Lạng Sơn
20915,Huyện Lộc Bình,209,Lạng Sơn
20903,Huyện Tràng Định,209,Lạng Sơn
20905,Huyện Văn Lãng,209,Lạng Sơn
20911,Huyện Văn Quan,209,Lạng Sơn
20919,Huyện Đình Lập,209,Lạng Sơn
20901,Thành phố Lạng Sơn,209,Lạng Sơn
11315,Huyện Giao Thuỷ,113,Nam Định
11319,Huyện Hải Hậu,113,Nam Định
11305,Huyện Mỹ Lộc,113,Nam Định
11309,Huyện Nam Trực,113,Nam Định
11317,Huyện Nghĩa Hưng,113,Nam Định
11311,Huyện Trực Ninh,113,Nam Định
11303,Huyện Vụ Bản,113,Nam Định
